name,nchars,lr,epoch,train_loss,val_accuracy,thresholded
"model-GoogLeNet-500-no-aug",500,0.01125,51,0.0469,95.39,False
"model-GoogLeNet-500-no-aug",500,0.01125,52,0.0468,95.22,False
"model-GoogLeNet-500-no-aug",500,0.01125,53,0.0435,95.40,False
"model-GoogLeNet-500-no-aug",500,0.01125,54,0.0449,95.16,False
"model-GoogLeNet-500-no-aug",500,0.01125,55,0.0444,95.26,False
"model-GoogLeNet-500-no-aug",500,0.01125,56,0.0443,95.66,False
"model-GoogLeNet-500-no-aug",500,0.01125,57,0.0414,95.17,False
"model-GoogLeNet-500-no-aug",500,0.01125,58,0.0412,95.42,False
"model-GoogLeNet-500-no-aug",500,0.01125,59,0.0408,95.51,False
"model-GoogLeNet-500-no-aug",500,0.01125,60,0.0416,95.25,False
"model-GoogLeNet-500-no-aug",500,0.01125,61,0.0408,95.28,False
"model-GoogLeNet-500-no-aug",500,0.01125,62,0.0428,95.50,False
"model-GoogLeNet-500-no-aug",500,0.01125,63,0.0383,95.37,False
"model-GoogLeNet-500-no-aug",500,0.01125,64,0.0403,95.27,False
"model-GoogLeNet-500-no-aug",500,0.01125,65,0.0412,95.51,False
"model-GoogLeNet-750-1.0",750,0.012,1,6.6459,0.13,False
"model-GoogLeNet-750-1.0",750,0.012,2,6.6329,0.12,False
"model-GoogLeNet-750-1.0",750,0.012,3,6.6327,0.13,False
"model-GoogLeNet-750-1.0",750,0.012,4,6.6314,0.15,False
"model-GoogLeNet-750-1.0",750,0.012,5,6.6316,0.13,False
"model-GoogLeNet-750-1.0",750,0.012,6,6.6317,0.13,False
"model-GoogLeNet-750-1.0",750,0.012,7,6.6315,0.12,False
"model-GoogLeNet-750-1.0",750,0.012,8,6.1037,0.98,False
"model-GoogLeNet-750-1.0",750,0.012,9,5.5447,4.23,False
"model-GoogLeNet-750-1.0",750,0.012,10,5.0066,9.35,False
"model-GoogLeNet-750-1.0",750,0.012,11,4.4561,24.93,False
"model-GoogLeNet-750-1.0",750,0.012,12,3.6863,30.15,False
"model-GoogLeNet-750-1.0",750,0.012,13,3.3149,39.84,False
"model-GoogLeNet-750-1.0",750,0.012,14,3.0384,52.78,False
"model-GoogLeNet-750-1.0",750,0.012,15,2.8710,59.12,False
"model-GoogLeNet-750-1.0",750,0.012,16,2.6727,58.45,False
"model-GoogLeNet-750-1.0",750,0.012,17,2.5009,64.22,False
"model-GoogLeNet-750-1.0",750,0.012,18,2.3665,67.13,False
"model-GoogLeNet-750-1.0",750,0.012,19,2.1801,74.87,False
"model-GoogLeNet-750-1.0",750,0.012,20,2.0613,75.04,False
"model-GoogLeNet-750-1.0",750,0.012,21,1.9343,76.83,False
"model-GoogLeNet-750-1.0",750,0.012,22,1.8167,76.65,False
"model-GoogLeNet-750-1.0",750,0.012,23,1.7637,81.06,False
"model-GoogLeNet-750-1.0",750,0.012,24,1.7037,80.67,False
"model-GoogLeNet-750-1.0",750,0.012,25,1.6631,81.10,False
"model-GoogLeNet-750-1.0",750,0.012,26,1.6002,82.85,False
"model-GoogLeNet-750-1.0",750,0.012,27,1.5652,83.57,False
"model-GoogLeNet-750-1.0",750,0.012,28,1.5394,83.25,False
"model-GoogLeNet-750-1.0",750,0.012,29,1.5093,82.95,False
"model-GoogLeNet-750-1.0",750,0.012,30,1.5081,83.83,False
"model-GoogLeNet-750-1.0",750,0.012,31,1.4342,85.89,False
"model-GoogLeNet-750-1.0",750,0.012,32,1.2835,86.25,False
"model-GoogLeNet-750-1.0",750,0.012,33,1.2498,86.88,False
"model-GoogLeNet-750-1.0",750,0.012,34,1.1739,87.72,False
"model-GoogLeNet-750-1.0",750,0.012,35,1.1026,87.60,False
"model-GoogLeNet-750-1.0",750,0.012,36,1.0894,85.94,False
"model-GoogLeNet-750-1.0",750,0.012,37,1.0889,87.60,False
"model-GoogLeNet-750-1.0",750,0.012,38,1.0508,87.56,False
"model-GoogLeNet-750-1.0",750,0.012,39,1.0433,87.58,False
"model-GoogLeNet-750-1.0",750,0.012,40,1.0287,88.41,False
"model-GoogLeNet-750-1.0",750,0.01125,41,0.9699,88.89,False
"model-GoogLeNet-750-1.0",750,0.01125,42,0.9645,89.95,False
"model-GoogLeNet-750-1.0",750,0.01125,43,0.9330,89.33,False
"model-GoogLeNet-750-1.0",750,0.01125,44,0.9320,89.44,False
"model-GoogLeNet-750-1.0",750,0.01125,45,0.9046,90.06,False
"model-GoogLeNet-750-1.0",750,0.01125,46,0.8957,89.76,False
"model-GoogLeNet-750-1.0",750,0.01125,47,0.9073,89.00,False
"model-GoogLeNet-750-1.0",750,0.01125,48,0.8783,90.70,False
"model-GoogLeNet-750-1.0",750,0.01125,49,0.8609,90.62,False
"model-GoogLeNet-750-1.0",750,0.01125,50,0.8611,90.29,False
"model-GoogLeNet-750-1.0",750,0.01125,51,0.8346,90.45,False
"model-GoogLeNet-750-1.0",750,0.01125,52,0.8564,90.84,False
"model-GoogLeNet-750-1.0",750,0.01125,53,0.8690,88.48,False
"model-GoogLeNet-750-1.0",750,0.01125,54,0.8223,91.30,False
"model-GoogLeNet-750-1.0",750,0.01125,55,0.8069,90.60,False
"model-GoogLeNet-750-1.0",750,0.01125,56,0.8394,90.44,False
"model-GoogLeNet-750-1.0",750,0.01125,57,0.8503,91.74,False
"model-GoogLeNet-750-1.0",750,0.01125,58,0.8005,91.56,False
"model-GoogLeNet-750-1.0",750,0.01125,59,0.8278,90.68,False
"model-GoogLeNet-750-1.0",750,0.01125,60,0.7855,91.49,False
"model-GoogLeNet-750-1.0",750,0.01125,61,0.7646,91.48,False
"model-GoogLeNet-750-1.0",750,0.01125,62,0.7684,91.02,False
"model-GoogLeNet-750-1.0",750,0.0112,63,0.7640,90.90,False
"model-GoogLeNet-750-1.0",750,0.0112,64,0.7542,91.32,False
"model-GoogLeNet-750-1.0",750,0.0112,65,0.7745,91.34,False
"model-GoogLeNet-750-1.0",750,0.0112,66,0.7783,91.83,False
"model-GoogLeNet-750-1.0",750,0.0112,67,0.7368,92.12,False
"model-GoogLeNet-750-1.0",750,0.0112,68,0.7411,91.75,False
"model-GoogLeNet-750-1.0",750,0.0112,69,0.7307,92.08,False
"model-GoogLeNet-750-1.0",750,0.0112,70,0.7249,91.84,False
"model-GoogLeNet-750-1.0",750,0.0112,71,0.7223,91.32,False
"model-GoogLeNet-750-1.0",750,0.0112,72,0.7188,91.70,False
"model-GoogLeNet-750-1.0",750,0.0112,73,0.7114,91.91,False
"model-GoogLeNet-750-1.0",750,0.0112,74,0.7102,91.94,False
"model-GoogLeNet-750-1.0",750,0.0112,75,0.7507,91.69,False
"model-GoogLeNet-750-1.0",750,0.0112,76,0.7475,91.40,False
"model-GoogLeNet-750-1.0",750,0.0112,77,0.7141,92.49,False
"model-GoogLeNet-750-1.0",750,0.0112,78,0.6856,92.57,False
"model-GoogLeNet-750-1.0",750,0.0112,79,0.7238,92.10,False
"model-GoogLeNet-750-1.0",750,0.0112,80,0.6916,92.57,False
"model",5,0.0125,1,1.8577,19.54,False
"model",5,0.0125,2,0.5690,74.17,False
"model",5,0.0125,3,0.1664,89.74,False
"model",5,0.0125,4,0.0915,90.73,False
"model-2.00",5,0.0125,1,1.657029504577319,19.867549668874172,True
"model-2.00",5,0.0125,2,0.5877809983988603,60.9271523178808,True
"model-2.00",5,0.0125,3,0.33434733174120385,82.45033112582782,True
"model-2.00",5,0.0125,4,0.118296132190153,99.00662251655629,True
"model-2.00",5,0.0125,5,0.08369723629827301,98.01324503311258,True
"model-2.00",5,0.0125,6,0.03522576450389655,100.0,True
"model-2.00",5,0.0125,7,0.0464688899058577,98.67549668874172,True
"model-2.00",5,0.0125,8,0.08680211477136861,99.00662251655629,True
"model-GoogLeNet-500-2.0",500,0.12,16,1.5132864024367845,74.55106979113602,True
"model-GoogLeNet-500-2.0",500,0.12,17,1.1584151059193475,81.93135506877229,True
"model-GoogLeNet-500-2.0",500,0.12,18,1.0163641374272903,83.11258278145695,True
"model-GoogLeNet-500-2.0",500,0.12,19,0.961087663533651,85.76477330616403,True
"model-GoogLeNet-500-2.0",500,0.12,20,0.8873359574269936,87.32806928171166,True
"model-GoogLeNet-500-2.0",500,0.12,21,0.8452859727572039,87.52865511971473,True
"model-GoogLeNet-500-2.0",500,0.12,22,0.8080093035486647,89.68734080489047,True
"model-GoogLeNet-500-2.0",500,0.12,23,0.7822831087548049,88.91046867040245,True
"model-GoogLeNet-500-2.0",500,0.12,24,0.7406953039002366,91.54992358634743,True
"model-GoogLeNet-500-2.0",500,0.12,25,0.7100974161104509,88.47745797249108,True
"model-GoogLeNet-500-2.0",500,0.12,26,0.699417430530883,90.79533876719307,True
"model-GoogLeNet-500-2.0",500,0.12,27,0.6729961224633964,87.66556291390728,True
"model-GoogLeNet-500-2.0",500,0.12,28,0.6631329487104385,91.11054508405502,True
"model-GoogLeNet-500-2.0",500,0.12,29,0.6553536555601418,91.43530310748854,True
"model-GoogLeNet-500-2.0",500,0.12,30,0.6377898677531426,91.37480896586857,True
"model-GoogLeNet-500-2.0",500,0.12,31,0.6415454099945218,91.68364747834947,True
"model-GoogLeNet-500-2.0",500,0.12,32,0.6707773178995178,90.74121242995415,True
"model-GoogLeNet-500-2.0",500,0.12,33,0.65534562645908,90.64887926642893,True
"model-GoogLeNet-500-2.0",500,0.12,34,0.6485224898521436,91.71548650025471,True
"model-GoogLeNet-500-2.0",500,0.12,35,0.616633285513592,91.98930208863983,True
"model-GoogLeNet-500-2.0",500,0.12,36,0.6111076839741002,91.24745287824759,True
"model",5,0.0125,1,1.881817917029063,19.5364238410596,True
"model",5,0.0125,2,0.8092335934440295,44.370860927152314,True
"model",5,0.0125,3,0.38396310930450755,82.45033112582782,True
"model",5,0.0125,4,0.16221106502537927,96.6887417218543,True
"model",5,0.0125,5,0.12231383480442067,97.01986754966887,True
"model",5,0.0125,6,0.11938727468562622,90.72847682119205,True
"model",5,0.0125,7,0.1042190899218743,98.01324503311258,True
"model",5,0.0125,8,0.06769195461432294,97.68211920529801,True
"model",5,0.0125,9,0.03397253131455121,98.01324503311258,True
"model",5,0.0125,10,0.03970603659884849,97.01986754966887,True
"model-2.01",5,0.0125,8,0.7968434757397821,20.86092715231788,True
"model-2.021",5,0.0125,1,1.1266101382595177,49.66887417218543,True
"model-2.021",5,0.0125,2,0.13513788697309792,90.72847682119205,True
"model-2.021",5,0.0125,3,0.11321713383464764,92.05298013245033,True
"model-2.02",5,0.0125,1,1.7341680098325014,19.5364238410596,True
"model-2.02",5,0.0125,2,0.5220677815377712,69.20529801324503,True
"model-2.02",5,0.0125,3,0.2696185257906715,94.37086092715232,True
"model-2.02",5,0.0125,4,0.16351061966270208,92.3841059602649,True
"model-2.02",5,0.0125,5,0.09689112909836695,96.02649006622516,True
